,album_id,track_id,track_name
0,0CPLMVp7rMi3BkzAMve96K,1uCmGGKxwlZTixjCxQyges,Mi Testimonio
1,0CPLMVp7rMi3BkzAMve96K,4HCXL25mUb9RISHL31WXRm,Al Volante
2,0CPLMVp7rMi3BkzAMve96K,1W3PmIlBplo5X5T67yLmY5,Rehén
3,0CPLMVp7rMi3BkzAMve96K,5zuE6KIynU31uACRF112R3,Ponte Bonita
4,0CPLMVp7rMi3BkzAMve96K,4z6wo6PJG4Fve45OXK6D9m,Infeliz
5,0CPLMVp7rMi3BkzAMve96K,7wQQLVAxrmY4fox5GKasHX,Video Llamada
6,0CPLMVp7rMi3BkzAMve96K,6F6BPkZYKQfgwZVBugMpty,Doble Cara
7,0CPLMVp7rMi3BkzAMve96K,2UeO0dSYG1t2BpESjdk24F,Hábitos
8,0CPLMVp7rMi3BkzAMve96K,19brIxDiUTCxusT2x8Wvxj,Llename de Luz
9,0CPLMVp7rMi3BkzAMve96K,6TCKPohK9TN8aaCSinsjMg,No Salgo de Casa
10,0CPLMVp7rMi3BkzAMve96K,1XxmTx7ZzI2xLvS8SqlXs9,Sigues Con El
11,0CPLMVp7rMi3BkzAMve96K,3dH31O0j1KWW5C2LNCVuuG,Capricornio
12,0CPLMVp7rMi3BkzAMve96K,2LSrYn6Ou5DYNa8Gh8TN5e,Memoria Rota
13,0CPLMVp7rMi3BkzAMve96K,7ms5LbfGl6lvaYqI34DZYo,Te Esperaré
14,0CPLMVp7rMi3BkzAMve96K,7zooAwAq4UbQGXA82G2nVv,Invicto
